Publication: https://www.sciencedirect.com/science/article/pii/S0304420317300725?via%3Dihub,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cruise,Station,Type,yyyy-mm-dd Thh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],DGM [pg L-1],HgTot [ng L-1],MeHg [pg L-1],Temperature [?C],Salinity [psu],pot.Temperature [?C],Sigma,Oxygen [ml/l],OxygSat [proz],Transmission [proz],Fluorometer [V]
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,137,156.4094118,,,0.4348,34.6467,0.4292,1027.7971,6.14,77,96.29,0.094
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,100,57.44819277,,,-0.7596,34.2145,-0.7625,1027.5074,10.76,130.4,95.95,0.131
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,85,21.53793103,,,-1.2996,34.0237,-1.3016,1027.3726,11.07,132,95.78,0.158
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,70,18.49879518,,,-1.3116,34.0225,-1.3133,1027.3721,11.09,132.2,95.8,0.158
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,60,17.53953488,,,-1.3126,34.0225,-1.314,1027.3721,11.09,132.2,95.77,0.158
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,50,16.83658537,,,-1.3126,34.0226,-1.3138,1027.3721,11.11,132.4,95.72,0.16
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,40,17.28,,,-1.313,34.0225,-1.3139,1027.3721,11.1,132.4,95.78,0.165
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,30,16.98072289,,,-1.3161,34.0225,-1.3168,1027.3722,11.11,132.4,95.75,0.16
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,20,17.60689655,,,-1.3238,34.0228,-1.3243,1027.3726,11.11,132.4,95.74,0.159
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,10,14.175,,,-1.3194,34.0227,-1.3196,1027.3724,11.1,132.2,95.74,0.158
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,5,15.01411765,,,-1.3153,34.0208,-1.3154,1027.3707,11.11,132.4,95.7,0.16
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,5325,126.3139535,,,-0.3736,34.6468,-0.7934,1027.8588,7.82,95.9,96.4,0.099
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,5300,133.2675,,,-0.3759,34.6466,-0.7934,1027.8587,7.78,95.5,96.39,0.099
